Team Name,Total Matches,Accurate Cross,Accurate Keeper Sweeper,Accurate Long Balls,Accurate Pass,Aerial Duel,Aerial Lost,Aerial Won,Blocked,Challenge Lost,Contest Won,Defensive Actions,Dispossessed,Duel Lost,Duel Won,Error Lead To A Shot,Expected Assists,Expected Goals,Fouls,Goal Assist,Goals,Good High Claim,Interception,Key Pass,Minutes Played,On Target,Outfielder Block,Own Goals,Passing Percentage,Possession Lost Control,Saved Shots From Inside The Box,Saves,Shot Off Target,Shot Percentage,Total Clearance,Total Contest,Total Cross,Total Duel,Total Keeper Sweeper,Total Long Balls,Total Offside,Total Pass,Total Tackle,Touches,Was Fouled,Average Rating
Semen Padang FC,27,134,0,577,6518,851,475,376,85,316,368,946,161,2474,1387,74,17.68,28.920000000000034,321,17,26,18,365,205,27541,101,85,2,0.77742213886105971,2548,48,88,123,0.11091954022988504,464,529,363,3861,77,1069,36,8145,117,11697,271,4.5363321799307963
Persita Tangerang,27,82,0,673,7421,842,395,447,113,319,291,1064,187,2407,1366,83,14.099999999999991,26.430000000000007,296,15,26,11,429,155,28069,93,113,2,0.79248905952219706,2479,58,108,99,0.13333333333333339,526,410,259,3773,62,1197,30,8926,109,12820,354,4.6137763371150706
Persis Solo,28,125,0,627,7815,722,377,345,70,270,440,924,217,2410,1529,42,23.090000000000025,35.279999999999987,323,15,26,9,396,267,29026,137,70,0,0.78375625998508569,2812,54,88,156,0.073001949317738818,408,598,383,3939,50,1185,46,9717,120,13815,386,4.7190095846645388
Persik Kediri,27,146,0,484,8186,725,403,322,86,280,478,970,224,2607,1559,48,18.47,32.330000000000013,304,17,28,13,408,217,27892,100,86,2,0.7860656575320093,2753,47,94,138,0.11241134751773053,432,624,433,4166,45,1007,31,9936,130,14431,343,4.7018181818181777
Persija Jakarta,27,138,0,600,9630,678,365,313,70,288,297,835,142,2146,1243,72,19.04,33.5,331,25,41,6,328,214,27973,111,70,2,0.80275302204847776,2489,55,99,115,0.16693121693121693,395,415,406,3389,33,1083,29,11353,112,14926,268,4.7858823529411776
Persib Bandung,28,136,0,488,8186,619,334,285,93,281,403,757,162,2135,1361,57,20.759999999999984,35.480000000000004,299,33,48,17,337,235,28897,123,93,1,0.793725507510348,2495,39,78,124,0.19818376068376076,326,526,410,3496,60,1022,46,9879,94,13812,277,4.7078303425774877
Persebaya Surabaya,28,166,0,581,6979,800,462,338,74,327,469,894,158,2488,1567,53,21.92,44.12,344,13,31,12,398,215,28642,132,74,2,0.7724300308635772,2638,47,96,116,0.12472406181015447,398,609,431,4055,61,1108,27,8738,98,12948,291,4.9543321299639
PSS Sleman,28,155,0,621,7295,835,422,413,84,276,351,943,168,2530,1544,81,22.180000000000003,36.659999999999982,390,20,32,8,372,230,29364,111,84,1,0.79743266089641951,2637,60,118,126,0.13671023965141629,473,475,405,4074,44,1158,39,8996,98,12823,340,5.0534013605442221
PSM Makassar,27,145,0,686,5737,882,497,385,71,282,392,866,141,2474,1421,50,24.93000000000001,39.239999999999995,295,23,34,15,412,220,28057,108,71,0,0.725617095049083,2891,45,72,126,0.13821138211382114,376,556,453,3895,45,1363,23,7780,78,11351,248,4.6316558441558433
PSIS Semarang,27,106,0,508,7273,759,406,353,81,314,373,907,171,2407,1436,69,13.489999999999988,24.979999999999979,286,10,21,25,398,163,27797,91,81,0,0.78392221201520651,2725,48,93,107,0.11025641025641028,444,516,330,3843,76,1059,30,9046,65,13056,339,4.7524390243902461
PSBS Biak,28,183,0,795,8119,874,430,444,68,304,536,908,193,2601,1715,59,23.65,40.039999999999992,359,22,36,12,401,253,28984,132,68,0,0.79337391967356619,2775,46,77,150,0.12868686868686874,410,683,517,4316,45,1400,32,10010,97,14395,279,4.8772504091653008
PS Barito Putera,28,133,0,756,7646,849,451,398,75,269,340,940,150,2449,1448,81,16.439999999999991,32.430000000000021,349,19,34,9,387,205,29035,105,75,1,0.789628810540042,2524,48,77,134,0.13333333333333333,430,461,371,3897,40,1340,28,9281,123,12999,344,4.5023364485981352
Malut United FC,28,113,0,632,7658,717,384,333,74,258,433,915,164,2288,1473,61,19.639999999999997,41.149999999999991,298,17,36,26,384,221,28900,121,74,1,0.78447816209594146,2618,41,86,157,0.12380952380952381,437,578,382,3761,65,1127,39,9392,94,13370,299,4.6423913043478269
Madura United FC,25,89,0,522,7604,712,383,329,46,241,396,846,154,2341,1447,56,16.249999999999993,29.86,302,14,25,17,352,176,25783,101,46,0,0.815815594681337,2430,39,67,102,0.11627296587926507,400,591,305,3788,43,973,25,9122,94,12950,347,4.3928321678321636
Dewa United FC,28,121,0,573,11587,529,271,258,75,319,390,672,151,2091,1372,66,32.680000000000007,50.390000000000029,291,37,53,6,329,290,28553,144,75,1,0.84560397742133175,2452,58,101,138,0.16124338624338633,302,521,357,3463,27,1073,33,13309,41,17508,318,4.8732297063903278
Borneo FC Samarinda,28,217,0,617,10256,800,439,361,76,273,427,817,173,2453,1467,57,26.570000000000007,44.360000000000021,384,22,37,18,367,288,28819,131,76,2,0.82456489198181337,2721,50,79,175,0.11208576998050683,385,554,593,3920,48,1087,51,12128,65,16391,280,4.6639109697933181
Bali United FC,27,177,0,615,5991,729,382,347,91,257,415,858,144,2409,1511,53,27.179999999999989,45.050000000000004,431,21,39,7,314,249,27936,119,91,3,0.75716120166282141,2589,45,81,150,0.13403614457831331,451,570,489,3920,42,1164,34,7737,93,11548,327,4.5279220779220823
Arema FC,26,146,0,613,7419,798,425,373,63,244,402,870,173,2277,1470,49,23.3,44.929999999999986,348,20,45,12,391,251,27034,144,63,1,0.80701478658860926,2523,38,71,149,0.15575273587695951,384,568,374,3747,48,1089,37,8984,95,12849,302,4.5610455311973039